key,carte,shape,image,text_fr,text_en,desc_fr,desc_en,example_fr,example_en,latin,proverbe,link_fr,link_en
1.3.2.3.3.1.1,,circle,,La colère est une faiblesse,,,,,,,,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XXVII,
1.3.2.3.3.2,,circle,,Ad feminam,,,,,,,,http://www.thefreedictionary.com/Argumentum+ad+feminam,
1.3.3,,circle,,Manque de parcimonie (rasoir d'Ockham),,,,,,,,https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham,
1.3.3.1,,circle,,Rasoir d'Hanlon,,,,,,,,http://rationalwiki.org/wiki/Hanlon%27s_razor,
1.3.3.2,,circle,,Principe de charité,,,,,,,,https://fr.wikipedia.org/wiki/Principe_de_charit%C3%A9,
1.3.3.2.1,,circle,,Homme de paille,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89pouvantail_(rh%C3%A9torique),
1.3.3.3,,circle,,Canon de Morgan,,,,,,,,https://fr.wikipedia.org/wiki/Pathetic_fallacy,
1.3.3.3.1,,circle,,Sophisme animiste,,,,,,,,#9e1c3834-3d6d-4164-8c95-3f9b19aa6f9f,
1.3.3.3.1.1,,circle,,Sophisme pathétique,,,,,,,,https://fr.wikipedia.org/wiki/Pathetic_fallacy,
1.3.3.4,,circle,,Apophénie,,,,,,,,http://skepdic.com/apophenia.html,
1.3.3.5,,circle,,Paréidolie,,,,,,,,https://fr.wikipedia.org/wiki/Par%C3%A9idolie,
2,,square,,Influence,,,,,,,,,
2.1,,circle,,Procédé Rhétorique,,,,,,,,https://en.wikipedia.org/wiki/Rhetorical_device,
2.1.1,,circle,,Langage chargé,,,,,,,,https://en.wikipedia.org/wiki/Loaded_language,
2.1.1.1,,circle,,Argument par la question,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#question,
2.1.1.1.1,,circle,,Compliquer les questions (plurium interrogationum),,,,,,,,https://fr.wikipedia.org/wiki/Plurium_interrogationum,
2.1.1.1.1.1,,circle,,Question rhétorique,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#rhetorical_question,
2.1.1.1.2,,circle,,Question à deux volets (question complexe),,,,,,,,https://en.wikipedia.org/wiki/Double-barreled_question,
2.1.1.1.3,,circle,,Fausse alternative,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/16/Alternative-Advance,
2.1.1.2,,circle,,Pétition de principe,,,,,,,,https://fr.wikipedia.org/wiki/P%C3%A9tition_de_principe,
2.1.1.3,,circle,,Définition persuasive,,,,,,,,https://en.wikipedia.org/wiki/Persuasive_definition,
2.1.1.3.1,,circle,,Mots fouines,,,,,,,,https://en.wikipedia.org/wiki/Weasel_word,
2.1.1.3.2,,circle,,Langage idiosynchratique,,,,,,,,http://www.ditext.com/fearnside/51.html,
2.1.1.3.2.1,,circle,,Elément de langage,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89l%C3%A9ment_de_langage,
2.1.1.3.2.2,,circle,,Double langage,,,,,,,,https://en.wikipedia.org/wiki/Doublespeak,
2.1.1.3.2.3,,circle,,Jargon corporate,,,,,,,,https://en.wikipedia.org/wiki/Corporate_jargon,
2.1.1.3.2.4,,circle,,Blabla technologique,,,,,,,,http://rationalwiki.org/wiki/Technobabble,
2.1.1.3.2.5,,circle,,Buzzword,,,,,,,,https://fr.wikipedia.org/wiki/Buzzword,
2.1.1.4,,circle,,Poncif bloquant la pensée,,,,,,,,https://fr.wikipedia.org/wiki/Thought-terminating_clich%C3%A9,
2.1.1.4.1,,circle,,L'argument par slogant,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#slogan,
2.1.1.4.2,,circle,,Petite phrase,,,,,,,,https://fr.wikipedia.org/wiki/Petite_phrase,
2.1.1.4.3,,circle,,Pensée Cliché,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche,
2.1.1.4.4,,circle,,Technique du carpaccio,,,,,,,,https://cortecs.org/materiel/scenarisation-de-linformation-la-technique-du-carpaccio/,
2.1.1.5,,circle,,Preuve par intimidation,,,,,,,,https://en.wikipedia.org/wiki/Proof_by_intimidation,
2.1.1.5.1,,circle,,Argument par le jargon prestigieux,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#jargon,
2.1.1.5.2,,circle,,Impressioner par les grands nombres,,,,,,,,http://www.ditext.com/fearnside/17.html,
2.1.1.5.3,,circle,,Argument par le charabia,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#gibberish,
2.1.1.5.4,,circle,,Effet impact,,,,,,,,https://cortecs.org/materiel/leffet-impact/,
2.1.1.5.5,,circle,,Effet puits,,,,,,,,https://cortecs.org/materiel/leffet-puits/,
2.1.1.6,,circle,,Langage préjudiciable,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/143/Prejudicial-Language,
2.1.1.6.1,,circle,,Politique du sifflet de chien,,,,,,,,https://en.wikipedia.org/wiki/Dog-whistle_politics,
2.1.1.6.2,,circle,,Grossièreté,,,,,,,,https://en.wikipedia.org/wiki/Rudeness,
2.1.1.6.2.1,,circle,,Effet Nasty,,,,,,,,http://skepdic.com/nastyeffect.html,
2.1.1.6.3,,circle,,Langage catégorique,,,,,,,,https://en.wikipedia.org/wiki/Judgmental_language,
2.1.2,,circle,,Humour,,,,,,,,,
2.1.2.1,,circle,,Comique,,,,,,,,https://fr.wikipedia.org/wiki/Comique,
2.1.2.1.1,,circle,,Blague,,,,,,,,https://en.wikipedia.org/wiki/Joke,
2.1.2.1.2,,circle,,Absurde,,,,,,,,https://fr.wikipedia.org/wiki/Humour_absurde,
2.1.2.1.2.1,,circle,,Amphigouri,,,,,,,,https://fr.wikipedia.org/wiki/Amphigouri,
2.1.2.1.2.2,,circle,,Burlesque,,,,,,,,https://fr.wikipedia.org/wiki/Burlesque,
2.1.2.1.2.3,,circle,,Paradoxe du menteur,,,,,,,,https://fr.wikipedia.org/wiki/Paradoxe_du_menteur,
2.1.2.1.3,,circle,,Jeu de mots,,,,,,,,https://fr.wikipedia.org/wiki/Jeu_de_mots,
2.1.2.1.3.1,,circle,,Calembour,,,,,,,,https://fr.wikipedia.org/wiki/Calembour,
2.1.2.1.3.2,,circle,,Double sens,,,,,,,,https://fr.wikipedia.org/wiki/Double_sens_(figure_de_style),
2.1.2.1.3.2.1,,circle,,Contrepèterie,,,,,,,,https://fr.wikipedia.org/wiki/Contrep%C3%A8terie,
2.1.2.2,,circle,,Satire,,,,,,,,https://fr.wikipedia.org/wiki/Satire,
2.1.2.2.1,,circle,,Mot d'esprit,,,,,,,,https://fr.wikipedia.org/wiki/Mot_d%27esprit,
2.1.2.2.2,,circle,,Exagération,,,,,,,,,
2.1.2.2.2.1,,circle,,Caricature,,,,,,,,https://fr.wikipedia.org/wiki/Caricature,
2.1.2.2.2.2,,circle,,Parodie,,,,,,,,https://fr.wikipedia.org/wiki/Parodie,
2.1.2.2.2.2.1,,circle,,Wellerisme,,,,,,,,https://fr.wikipedia.org/wiki/Wellerisme,
2.1.2.2.2.2.2,,circle,,Antiparémie,,,,,,,,https://fr.wikipedia.org/wiki/Antipar%C3%A9mie,
2.1.2.2.3,,circle,,Ironie,,,,,,,,https://fr.wikipedia.org/wiki/Ironie,
2.1.2.2.3.1,,circle,,Ironie Situationnelle,,,,,,,,https://fr.wikipedia.org/wiki/Ironie#L.27ironie_situationnelle,
2.1.2.2.3.2,,circle,,Ironie Socratique,,,,,,,,https://fr.wikipedia.org/wiki/Ironie_socratique,
2.1.2.2.3.2.1,,circle,,Sarcasme,,,,,,,,https://fr.wikipedia.org/wiki/Sarcasme,
2.1.2.3,,circle,,Cynisme,,,,,,,,https://fr.wikipedia.org/wiki/Cynisme_(contemporain),
2.1.2.3.1,,circle,,Humour noir,,,,,,,,https://fr.wikipedia.org/wiki/Humour_noir,
2.1.2.3.2,,circle,,Nihilisme,,,,,,,,https://fr.wikipedia.org/wiki/Nihilisme,
2.1.3,,circle,,Argument par la poésie,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#poetry,
2.1.3.1,,circle,,Procédé sonor,,,,,,,,https://en.wikipedia.org/wiki/Rhetorical_device#Sonic_devices,
2.1.3.1.1,,circle,,Allitération,,,,,,,,https://fr.wikipedia.org/wiki/Allit%C3%A9ration,
2.1.3.1.2,,circle,,Assonance,,,,,,,,https://fr.wikipedia.org/wiki/Assonance,
2.1.3.1.3,,circle,,Cacophonie,,,,,,,,https://fr.wikipedia.org/wiki/Cacophonie,
2.1.3.1.4,,circle,,Onomatopée,,,,,,,,https://fr.wikipedia.org/wiki/Onomatop%C3%A9e,
2.1.3.1.5,,circle,,Métaplasme,,,,,,,,https://fr.wikipedia.org/wiki/M%C3%A9taplasme,
2.1.3.1.5.1,,circle,,Assimilation,,,,,,,,https://fr.wikipedia.org/wiki/Assimilation_(phon%C3%A9tique),
2.1.3.2,,circle,,Répétition,,,,,,,,,
2.1.3.2.1,,circle,,Accumulation,,,,,,,,https://fr.wikipedia.org/wiki/Accumulation_(rh%C3%A9torique),
2.1.3.2.1.1,,circle,,Enumération,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89num%C3%A9ration,
2.1.3.2.1.2,,circle,,Conglobation,,,,,,,,https://fr.wikipedia.org/wiki/Conglobation,
2.1.3.2.2,,circle,,Anaphore,,,,,,,,https://fr.wikipedia.org/wiki/Anaphore_(rh%C3%A9torique),
2.1.3.2.2.1,,circle,,Epiphore,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89piphore,
2.1.3.2.2.2,,circle,,Symploque,,,,,,,,https://fr.wikipedia.org/wiki/Symploque,
2.1.3.2.3,,circle,,Paronomase,,,,,,,,https://fr.wikipedia.org/wiki/Paronomase,
2.1.3.2.3.1,,circle,,Annomination,,,,,,,,https://fr.wikipedia.org/wiki/Annomination,
2.1.3.2.4,,circle,,Hyperbole,,,,,,,,https://fr.wikipedia.org/wiki/Hyperbole_(rh%C3%A9torique),
2.1.3.2.4.1,,circle,,Adynaton,,,,,,,,https://fr.wikipedia.org/wiki/Adynaton,
2.1.3.2.5,,circle,,Hendiadys,,,,,,,,https://fr.wikipedia.org/wiki/Hendiadys,
2.1.3.3,,circle,,Adjonction,,,,,,,,,
2.1.3.3.1,,circle,,Gradation,,,,,,,,https://fr.wikipedia.org/wiki/Gradation,
2.1.3.3.2,,circle,,Paraphrase,,,,,,,,https://fr.wikipedia.org/wiki/Paraphrase,
2.1.3.3.3,,circle,,Oxymore,,,,,,,,https://fr.wikipedia.org/wiki/Oxymore,
2.1.3.3.4,,circle,,Tautologie,,,,,,,,https://fr.wikipedia.org/wiki/Tautologie,
2.1.3.4,,circle,,Suppression,,,,,,,,,
2.1.3.4.1,,circle,,Aposiopèse,,,,,,,,https://fr.wikipedia.org/wiki/Aposiop%C3%A8se,
2.1.3.4.2,,circle,,Antiphrase,,,,,,,,https://fr.wikipedia.org/wiki/Antiphrase,
2.1.3.4.3,,circle,,Euphémisme,,,,,,,,https://fr.wikipedia.org/wiki/Euph%C3%A9misme,
2.1.3.4.4,,circle,,Prétérition,,,,,,,,https://fr.wikipedia.org/wiki/Pr%C3%A9t%C3%A9rition,
