PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
701,5.2.2.2,4,,,,Analogies étendue,17,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/84/Extended-Analogy,,"Votre argument suppose une chose qui ressemble à une autre et partage une propriété avec une troisième chose, afin d'établir l'équivalence entre la première et la troisième chose. ",180,,0,Penser que l'atome était la plus petite particule était une erreur de la science. La théorie de l'évolution était aussi une erreur de la science. Donc la science qui pense que l'atome est la plus petite particule est comme la science qui pense que la théorie de l'évolution est vrai. ,284,,,,,,,,,,circle,,,
702,5.2.2.3,4,,,,Argument de la similarité fallacieuse,37,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#similarity,,pas clair,9,,0,,0,,,,,,,,,,circle,,,
703,5.2.2.4,4,,,,Fausse équivalence,18,,,0,https://en.wikipedia.org/wiki/False_equivalence,,Votre argument vise à mettre sur un même plan de comparaison des actions différentes. ,86,,0,"Je n'ai peut-être pas amélioré les résultats sportifs de cette école, mais au moins je ne l'ai pas conduite à sa ruine. ",120,,,,,,,,4.3.1.2,,circle,,,
704,5.2.3,3,ok,2,,Sophisme d'association,22,,Association fallacy,19,https://fr.wikipedia.org/wiki/Sophisme_par_association,https://en.wikipedia.org/wiki/Association_fallacy,"Sous prétexte que deux éléments présentent un aspect commun, vous attribuez à l'un toutes les propriétés de l'autre dès lors que cela peut servir votre point de vue.",165,Using a shared property between A and B to ascribe any property of B to A.,74,Ce garçon est ami avec les élèves les plus bavards de la classe ; il est donc nécessaire de le garder à l'œil.,110,He's friend with the unruly kids in the back. We must keep an eye on him.,73,la différence avec fausse analogie est fine.,,Ce président a la même taille que Napoléon ; il va donc chercher à envahir la Russie !,"You are very critical of the EU, just like the far right.",,,,circle,,,
705,5.2.3.1,4,ok,1,,Amalgame,8,,Conflation,10,https://fr.wikipedia.org/wiki/Amalgame_(communication),https://en.wikipedia.org/wiki/Conflation,Vous réduisez un élément à une catégorie notoire sous prétexte d'une simple ressemblance. ,90,Abusively assimilating a specific thing to a well-known category on grounds of some similarity.,95,Son prénom est Yannick : il doit être breton ; aucune chance donc qu'il n'étale du beurre doux sur ses tartines !,113,"His name is Benoît, that's French. Give him cheese before he lets the German wreck Europe again.",96,,,,,,,,circle,un homme mélange dans un chaudron,,
706,5.3,2,ok,1,,Ambiguïté,9,,Ambiguity,9,https://yourlogicalfallacyis.com/fr/ambiguite,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/17/Ambiguity-Fallacy,Votre argumentation repose sur des énoncés qui peuvent avoir plusieurs sens.,76,Phrasing statements that have several possible understandings.,62,Il a peint le portrait de la dame en noir.,42,He's painted a black widow picture / a beautiful scenery painting.,66,,,Je vous ai compris !,We promise to withdraw from territories occupied in the recent conflict.,,,,circle,langue en gargouille,,
707,5.3.1,3,ok,2,,Ambiguïté syntaxique,20,,Syntactic ambiguity,19,https://fr.wikipedia.org/wiki/Amphibologie XXX ou http://www.semantique-gdr.net/dico/index.php/Ambigu%C3%AFt%C3%A9,https://en.wikipedia.org/wiki/Syntactic_ambiguity,La construction de votre phrase la rend équivoque.,50,Using an ambiguous sentence structure that has several possible understandings.,79,Je préfère le poulet aux olives.,32,John saw the man on the mountain with a telescope.,50,,,,,,,,circle,,,
708,5.3.1.1,4,,,,Amphibologie,12,,,0,https://fr.wikipedia.org/wiki/Amphibologie,,Votre argument utilise une figure de style permettant une équivoque grammaticale. ,82,,0,"« Un enfant sur trois naît indien ou chinois. C'est bien embêtant : ma femme en veut un troisième, et je ne parle aucune des deux langues »",139,,,,,,,,,,circle,,,
709,5.3.1.1.1,5,ok,2,,Ponctuation ambiguë,19,,Ambiguous punctuation,21,,https://cybertext.wordpress.com/2012/11/22/a-light-hearted-look-at-how-punctuation-can-change-meaning/,Votre usage de la ponctuation rend le discours équivoque.,57,Using a sentence which may be interpreted in more than one way due to ambiguous punctuation.,92,Mes élèves qui sont en surpoids boivent beaucoup de soda.,57,Most of the time travellers worry about their luggage.,54,"Yes, super exemples!!!. ",,,,,,,circle,,,
710,5.3.1.1.2,5,,,,Sophisme de portée modale,25,,,0,http://www.fallacyfiles.org/modlscop.html,,,0,,0,,0,,,,,,,,4.2.3.1,,circle,,,
711,5.3.1.1.2.1,6,,,,Glissement du quantiticateur,28,,,0,825d51a5-1b9d-41e2-8289-c52cc761db74,,,0,,0,,0,,,,,,,,,,circle,,,
712,5.3.1.1.3,5,,,,Accent,6,,,0,http://rationalwiki.org/wiki/Fallacy_of_accent,,Votre argument joue sur le sens que votre accent donne aux mots ,64,,0,,0,I didn't take the test yesterday. (Somebody else did.) I didn't take the test yesterday. (I did not take it.) I didn't take the test yesterday. (I did something else with it.) I didn't take the test yesterday. (I took a different one.) I didn't take the test yesterday. (I took something else.) I didn't take the test yesterday. (I took it some other day.),,,,,,,,,circle,,,
713,5.3.1.1.3.1,6,,,,Contraste illicite,18,,,0,http://www.bargain-storage.com/uploads/9/8/7/4/9874916/attacking.faulty.reasoning.a.practical.guide.to.fallacyfree.arguments.pdf#page=141,,,0,,0,,0,,,,,,,,,,circle,,,
714,5.3.1.2,4,,,,Solécisme,9,,,0,https://fr.wikipedia.org/wiki/SolA13%A9cisme,,Votre argument utilise une faute de grammaire. ,47,,0,Je vais au coiffeur car je ne me rappelle jamais de mes rendez-vous. ,69,,,,,,,,,,circle,,,
715,5.3.1.3,4,,,,Barbarisme,10,,,0,https://fr.wikipedia.org/wiki/Barbarisme,,Votre argument importe une forme linguistique étrangère qui existe pas.  ,73,,0,La bravitude ce ce peuple est impressionnante. ,47,,,,,,,,,,circle,,,
716,5.3.2,3,ok,1,Équivoque,Ambiguïté sémantique,20,Equivocation,Semantic ambiguity,18,https://fr.wikipedia.org/wiki/A13%89quivoque,https://en.wikipedia.org/wiki/Equivocation,Vous jouez sur les acceptions multiples d'un mot pour rendre  votre discour ambigu.,83,Using polysemy to create formulations which elicit several interpretations.,75,Cet ours a mangé un avocat.,27,The fisherman went to the ​bank.,32,Ben likes,,,,,,,circle,canard/lapin,,
717,5.3.2.1,4,,,,Expression vague,16,,,0,http://www.fallacyfiles.org/vaguenes.html,,Votre argument utilise une catégorie vague. ,44,,0,"J'avais dit un fauteuil jaune, pas une chaise orange. ",54,,,,,,,,,,circle,,,
718,5.3.2.1.1,5,,,,Fausse précision,16,,,0,https://en.wikipedia.org/wiki/False_precision,,Votre argument vise à faire croire que la précision d'une mesure est un gage de sa justesse. ,93,,0,Je suis sur à 90% qu'il a tort. ,32,,,,,,,,,,circle,,,
719,5.3.2.1.2,5,,,,Pente glissante (sémantique),28,,,0,http://www.fallacyfiles.org/slipslop.html#Semantic,,Votre argument repose sur l'idée que si l'on accepte telle définition alors telles autres choses arriveront en conséquence. ,124,,0,Nous ne pouvons autoriser l'avortement car si nous le faisons nous serons alors forcés d'autoriser également l'infanticide. ,124,,,,,,,,,,circle,,,
720,5.3.2.1.2.1,6,,,,Argument de la barbe,20,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/58/Argument-of-the-Beard,,Vous faites valider votre argument sur la base d'un terme indéfinissable. 	,75,,0,"	Soit on a une barbe, soit on en a pas. Donc on ne peut pas devenir barbu. ",75,,,,,,,,,,circle,,,
721,5.3.2.2,4,,,,Changement lexical (Polysémie),30,,,0,https://en.wikipedia.org/wiki/Onomasiology#Lexical_change,,Vous utilisez un mot dont le sens a dérivé. ,44,,0,Je n'ai jamais vu un aussi beau petit con. ,43,,,,,,,,,,circle,,,
722,5.3.2.2.1,5,,,,Mondegreen,10,,,0,https://en.wikipedia.org/wiki/Mondegreen,,Vous faite une mauvais interprétation d'une phrase en raison d'une homologie.   ,80,,0,"Antisocial, tu manges du boeuf froid !",38,,,,,,,,,,circle,,,
723,5.3.2.2.2,5,,,,Homonymie,9,,,0,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/StratagA13%A8me_II,,Votre argument utilise l'homonymie d'un terme pour réfuter la thèse de votre adversaire. . ,91,,0,"Et la lumière fut ""éteinte"". OU Un péché pousse en Allemagne mais une branche dépasse en France. Un pêcheur tombe en France. Comment appelle-t-on ?",147,,,,,,,,,,circle,,,
724,5.3.2.2.2.1,6,,,,Hétérosémie,11,,,0,https://en.wikipedia.org/wiki/Heterosemy,,Votre argument utilise un terme qui peut prendre plusieurs signification en fonction des usages. ,97,,0,C'est solide !,14,,,,,,,,,,circle,,,
725,5.3.2.2.3,5,,,,Sophisme Jingle-jangle,22,,,0,https://en.wikipedia.org/wiki/Jingle-jangle_fallacies,,,0,,0,,0,,,,,,,,,,circle,,,
726,5.3.2.3,4,,,,Changement sémantique,21,,,0,https://en.wikipedia.org/wiki/Semantic_change,,Vous utilisez un terme dont le sens a changé au cours de l'histoire. ,69,,0,Il faut que tu changes ta souris. ,34,,,,,,,,,,circle,,,
727,5.3.2.3.1,5,,,,Métonymie,9,,,0,https://fr.wikipedia.org/wiki/MA13%A9tonymie,,"Vous faites une figure de style qui remplace un concept par un autre avec lequel il est en rapport par un lien logique sous-entendu, par exemple:  la cause pour l'effet",168,,0,"Vous venez boire un verre ,",27,,,,,,,,2.1.3.6.5,,circle,,,
728,5.3.2.3.2,5,,,,Idola fori,10,,,0,https://en.wikipedia.org/wiki/Idola_fori,,Votre argument suppose la parfaite correspondance de la théorie et de la pratique. ,83,,0,"J'ai revu mes calculs, cette marge de sûreté n'est pas nécessaire. ",67,,,,,,,,,,circle,,,
729,5.3.2.3.2.1,6,ok,2,,Réification,11,,"Reification
(hypostatization)",29,https://fr.wikipedia.org/wiki/R%C3%A9ification,https://en.wikipedia.org/wiki/Reification_(fallacy),Vous considérez un élément abstrait comme s'il s'agissait d'une chose concrète.,79,"Treating something abstract, such as an idea, as a concrete thing.",66,"Quand je serai riche, j'achèterai son amour.",44,"When I'm rich enough, I'll be able to buy that person's love.",61,ben likes,,,,,,,circle,la carte et territoire,,
730,5.3.2.3.2.1.1,7,,,,La magie des mots,17,,,0,http://rationalwiki.org/wiki/Word_magic,,Votre argument suppose que l'existence du mot suppose l'existence de la chose. ,79,,0,Et c'est là que j'ai vu une licorne. ,37,,,,,,,,,,circle,,,
731,5.3.2.3.2.2,6,,,,Erreur Usage Mention,20,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/180/Use-Mention-Error,,Vous confondez le mot pour décrire une chose avec la chose elle-même. ,70,,0,Mon fils contient 7 lettres.,28,,,,,,,,,,circle,,,
732,5.3.2.3.2.3,6,,,,Sophisme référentiel,20,,,0,http://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryR/section81/main.html,,,0,,0,,0,,,,,,,,,,circle,,,
733,5.3.2.3.2.4,6,,,,Simulacre,9,,,0,https://fr.wikipedia.org/wiki/Simulacre,,Vous faites un argument qui ne renvoie à aucune réalité. ,57,,0,Combien de Martiens pourrait on nourrir par jour avec cette machine ?,69,,,,,,,,,,circle,,,
734,5.3.2.4,4,,,,Milieu non distribué,20,,,0,ac57e2ed-8116-49dc-b53f-d59a02e0fac6,,,0,,0,,0,,,,,,,,,,circle,,,
735,5.3.2.4.1,5,,,,Syllogisme du politicien,24,,,0,1f82a972-e177-4e69-8a71-dbce97ef6749,,,0,,0,,0,,,,,,,,1.1.3.2.1 4.3.3.5.1 5.3.2.4.1,,circle,,,
736,5.3.3,3,ok,2,,Ambiguïté narrative,19,,Narrative ambiguity,19,,,Le message formulé par votre discours est équivoque.,52,Phrasing your argument in such a way that it can tell different stories.,72,"Lundi dernier, tu as rendu ton devoir à temps ; aujourd'hui, il faut qu'on parle.",81,Last Monday you handed your work in on time. Today we need to talk.,67,,,,,,,,circle,,,
737,5.3.3.1,4,,,,Fausse implication,18,,,0,http://skepdic.com/falseimplication.html,,Votre argument contient une clause implicite. ,46,,0,Contient 50% des apports journaliers recommandés en calcium (si consommé avec un verre de lait). ,97,,,,,,,,,,circle,,,
738,5.3.3.1.1,5,,1,Insinuation,Argument par l'insinuation,26,,,0,https://www.thoughtco.com/what-is-an-innuendo-1691175,,"Votre argument est à lire entre les lignes, avec une insinuation. ",66,,0,"Tu étais seul dans la pièce, et je ne trouve plus mon portefeuille.",67,,0,,,3 millions de chômeurs et 3 millions d'immigrés en France. ,,,,,circle,,,
739,5.3.3.2,4,,,,Propagande grise,16,,,0,https://fr.wikipedia.org/wiki/Propagande_grise,,,0,,0,,0,,,,,,,,,,circle,,,
740,5.3.3.3,4,,,,Propagande noire,16,,,0,https://fr.wikipedia.org/wiki/Propagande_noire,,Votre argument feint d'être issu une source amicale quand il est en fait issu de votre adversaire.   ,101,,0,Les Alliés ont commencé le débarquement. Toutes les forces de la Nation sont réquisitionnées. ,94,,,,,,,,,,circle,,,
741,5.3.3.4,4,,,,Polytélie,9,,,0,https://en.wikipedia.org/wiki/Polytely,,Votre argument présente un problème qui peut se résoudre par différents objectifs. ,83,,0,"Si tu passes par là, tu ne ne verras pas le dragon, mais un marchand viendra à ta rencontre. ",93,,,,,,,,,,circle,,,
742,6,1,ok,1,,Tricherie,9,,Cheating,8,https://fr.wikipedia.org/wiki/Tricherie,,Vous vous affranchissez des règles tacites qui régissent un débat rationnel.,76,Breaking the tacit rules of argumentation.,42,,0,"Don't cling to details, you just need to grasp the spiritual truth behind what I am telling you.",96,,,,,,,,square,joueur d'échec,#e42065,
743,6.1,2,ok,1,,Arranger les faits,18,,Spin doctoring,14,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/241/Spin-Doctoring,Vous présentez des événements sous un jour trompeur pour convaincre votre auditoire.,84,Presenting facts so that others interpret them in a way that betrays reality but suits your aims.,97,Je ne suis pas responsable de cette situation : je t'ai dit ce que je savais et tu as pris la mauvaise décision.,112, It's not my fault: I told you what I knew and you made the bad choice.,71,,,La police a empêché la manifestation d'avancer avant qu'une poignée d'individus ne saccagent le quartier.,"- There were riots and a policeman was wounded.
- You mean that officer who sprained his ankle when arresting Max?",,,,circle,Lunettes et faux nez,,
744,6.1.1,3,ok,1,,Mensonge,8,,Lying,5,https://fr.wikipedia.org/wiki/Mensonge,https://en.wikipedia.org/wiki/Lie,Vous exposez des faits contraires à la vérité.,46,Telling facts which are untrue.,31,Bien sûr que le père Noël existe !,34,"Santa Claus is watching you, so behave.",39,,,Nous avons trouvé des armes de destruction massive en Irak.,We found weapons of mass destruction in Iraq.,,,,circle,Pinocchio,,
745,6.1.1.1,4,,,,Semi-vérité,11,,,0,https://en.wikipedia.org/wiki/Half-truth,,Vous exposez des faits conformes à la vérité et d'autres non-conformes à la vérité.  ,85,,0,Je n'ai pas eu de relation  sexuelle avec cette stagiaire pendant son stage dans ce cabinet. ,93,,,,,,,Two half-truths do not make a truth (Arthur Koestler),,,circle,,,
746,6.1.1.1.1,5,,,,Minimisation,12,,,0,https://en.wikipedia.org/wiki/Minimisation_(psychology),,Votre argument minimise les faits dans une démarche de déni et de rationalisation a posteriori. ,96,,0,"Monsieur le juge, je vous ferais remarquer que violer c'est quand on veut pas et moi je voulais. ",97,,,,,,,,,,circle,,,
747,6.1.1.1.2,5,,,,Exagération,11,,,0,https://en.wikipedia.org/wiki/Exaggeration,,Votre argument exagère les faits dans une démarche de déni et de rationalisation a posteriori. ,95,,0,,0,,,,,,,,,,circle,,,
748,6.1.1.1.3,5,,,,Information obsolète,20,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#outdated,,Votre argument donne une information obsolète. ,47,,0,La terre est plate et le soleil est son satellite. ,51,,,,,,,,,,circle,,,
749,6.1.1.1.4,5,,,,Fraude pieuse,13,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#pious_fraud,,Votre argument vise à tromper selon l'adage que la fin justifie les moyens. ,76,,0,Cette statue du Christ verse des larmes de sang tous les matins. ,65,,,,,,,,,,circle,,,
750,6.1.1.1.4.1,6,,,,Mensonge poli,13,,,0,https://en.wikipedia.org/wiki/Lie#Polite_lie_and_butler_lie,,Votre argument est un mensonge poli qui vise à préserver l'estime de votre interlocuteur. ,90,,0,"Je dois y aller, le serveur est arrivé. ",40,,,,,,,,,,circle,,,
751,6.1.1.1.4.2,6,,,,Pour la bonne cause,19,,,0,https://en.wikipedia.org/wiki/Noble_lie,,Votre argument invoque un mythe fédérateur. ,44,,0,,0,,,,,,,,,,circle,,,
752,6.1.1.1.5,5,,,,Prémisse fausse,15,,,0,https://fr.wikipedia.org/wiki/PrA13%A9misse_fausse,,Votre argument s'appuie sur une prémisse que est fausse. ,57,,0,"Si les rues sont mouillées, il a plu récemment. (prémisse majeure) Les rues sont mouillées. (prémisse mineure) Donc il a plu récemment. (conclusion)",148,,,,,,,,,,circle,,,
753,6.1.1.1.6,5,,,,Faux effet (non causa non proba),32,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/95/False-Effect,,Votre argument s'appuie une fausse conséquence de votre prémisse. ,66,,0,Regarder ton écran à cette distance va  te rendre aveugle. ,59,,,,,,,,,,circle,,,
754,6.1.1.1.7,5,,,,Limiter les dégats,18,,,0,https://en.wikipedia.org/wiki/Limited_hangout,,Votre argument reconnaît certains faits et en dénie d'autres. ,62,,0,"Oui, la France est bien intervenue en Tanzanie orientale, mais seulement sur la période 1958-62. ",97,,,,,,,,,,circle,,,
755,6.1.1.1.8,5,,,,Faux souvenir,13,,,0,http://skepdic.com/falsememory.html,,Votre argument s'appuie sur des faux souvenirs. ,48,,0,J'ai regardé cette émission sur les violences sexuelles hier soir et c'est après qu'il m'a violé. ,98,,,,,,,,,,circle,,,
756,6.1.1.1.8.1,6,,,,Confabulation,13,,,0,http://skepdic.com/confab.html,,Votre argument invente une histoire en cours de route. ,55,,0,"C'est ici que la soucoupe volante a atterri, et qu'une équipe de Petit Gris est venu me chercher. ",98,,,,,,,,,,circle,,,
757,6.1.1.2,4,,,,Factoïde,8,,,0,https://en.wikipedia.org/wiki/Factoid,,Votre argument s'appuie sur un fait généralement reconnu mais qui est faux. ,76,,0,,0,,,,,,,,,,circle,,,
758,6.1.1.2.1,5,,,,Désinformation,14,,,0,https://fr.wikipedia.org/wiki/DA13%A9sinformation,,Votre argument vise à donner une fausse information à votre adversaire. ,72,,0,Les Russe font une percée en Lorraine.,38,,,,,,,,,,circle,,,
759,6.1.1.2.1.1,6,,,,Fake news,9,,,0,https://fr.wikipedia.org/wiki/Fake_news,,Votre argument vise à faire croire à une fausse information à votre adversaire. ,80,,0,,0,,,,,,,,,,circle,,,
760,6.1.1.2.1.2,6,,,,Chambre d'écho,14,,,0,https://fr.wikipedia.org/wiki/Chambre_d%27A13%A9cho_(mA13%A9dias),,"Votre argument utilise des opinions qui, comme dans une chambre d'écho, ne pas généralement remises en question. ",113,,0,"Pour perdre du poids, il faut supprimer ces 5 aliments de ton régime. ",70,,,,,,,,,,circle,,,
761,6.1.1.2.1.3,6,,,,Astroturfing,12,,,0,https://fr.wikipedia.org/wiki/Astroturfing,,Votre argument vise à simuler la constitution spontanée d'un mouvement social. ,79,,0,La France doit répondre à l'appel du peuple syrien face à la menace de son Leader. ,83,,,,,,,,,,circle,,,
762,6.1.1.2.1.4,6,,,,Canard,6,,,0,http://rationalwiki.org/wiki/Canard,,Votre argument s'appuie sur une histoire non-fondée pour soutenir une opinion tout aussi infondée. ,99,,0,Les Juifs sont responsables de l'Holocauste. ,45,,,,,,,,,,circle,,,
763,6.1.1.2.2,5,,,,Rumeur,6,,,0,https://fr.wikipedia.org/wiki/Rumeur,,Votre argument s'appuie sur une histoire qui se propage. ,57,,0,"Le mot le plus recherché sur internet est ""sexe'. ",50,,,,,,,,,,circle,,,
764,6.1.1.2.3,5,,,,Mythe,5,,,0,https://fr.wikipedia.org/wiki/Mythe#Le_mythe_comme_croyance_erron.C3.A9e,,Votre argument s'appuie sur une histoire qui a une visée fondatrice. ,69,,0,Et c'est ainsi qu'Athéna est devenue la patronne de notre cité. ,64,,,,,,,,,,circle,,,
765,6.1.1.2.3.1,6,,,,Légende urbaine,15,,,0,https://fr.wikipedia.org/wiki/LA13%A9gende_urbaine,,Votre argument s'appuie sur une histoire dont l'origine est douteuse. ,70,,0,Un ami m'a dit qu'il y avait des crocodiles dans les égouts de New-York. ,73,,,,,,,,,,circle,,,
766,6.1.1.2.3.2,6,,,,Creepypasta,11,,,0,https://fr.wikipedia.org/wiki/Creepypasta,,Votre argument s'appuie sur une histoire d'origine douteuse et destinée à faire peur. ,86,,0,C'est à ce tournant que j'ai vu la Dame Blanche. ,49,,,,,,,,,,circle,,,
767,6.1.1.2.3.3,6,,,,le tapis volant,15,,,0,http://rationalwiki.org/wiki/Flying_carpet_fallacy,,Votre argument dévie toujours vers une position islamophobe. ,61,,0,,0,,,,,,,,,,circle,,,
768,6.1.1.2.4,5,,,,Mème,4,,,0,https://fr.wikipedia.org/wiki/MA13%A8me,,"Votre argument s'appuie sur un même, c'est-à-dire sur une élément culturel largement répliqué. ",95,,0,J and P was here. ,18,,,,,,,,,,circle,,,
769,6.1.1.3,4,,,,Imposture,9,,,0,https://fr.wikipedia.org/wiki/Imposture,,Votre argument vise à vous faire passer pour ce que vous n'êtes pas. ,69,,0,"Oui, en changeant le joint de culasse on doit pouvoir améliorer les performances. ",82,,,,,,,,,,circle,,,
770,6.1.1.3.1,5,,,,Falsisme,8,,,0,https://en.wikipedia.org/wiki/Falsism,,Votre argument énonce une contre vérité dans le but de signifier l'inverse. ,76,,0,Des éléphants roses ?,21,,,,,,,,,,circle,,,
771,6.1.1.3.2,5,,,,Canular,7,,,0,https://fr.wikipedia.org/wiki/Canular,,Votre argument vise à tromper votre adversaire pour se moquer de lui ou le faire réagir. ,89,,0,,0,,,,,,,,,,circle,,,
772,6.1.1.3.3,5,,,,Foutaise,8,,,0,https://en.wikipedia.org/wiki/Bullshit,,,0,,0,Nous allons construire un mur à la frontière et nos voisins payeront pour sa construction. ,91,,,,,,,,,,circle,,,
773,6.1.1.3.3.1,6,,,,Bobard,6,,,0,https://en.wikipedia.org/wiki/Lie#Fib,,Votre argument vise à justifier une bêtise facilement pardonnable. ,67,,0,C'est le chien qui avait tomber le vase.,40,,,,,,,,,,circle,,,
774,6.1.1.3.4,5,,,,Faire prendre des vessies pour des lanternes,44,,,0,https://www.projet-voltaire.fr/origines/expression-prendre-des-vessies-pour-des-lanternes/,,Votre argument vise à vendre du vent. ,38,,0,Vous verrez que les Bretons ont un niveau d'éducation impressionnants. ,71,,,,,,,,,,circle,,,
775,6.1.1.3.4.1,6,,,,Poudre aux yeux,15,,,0,https://en.wikipedia.org/wiki/Puffery,,Votre argument vise à impressionner de manière plus subjective qu'objective. ,77,,0,C'est la meilleure machine que j'ai essayée. ,45,,,,,,,,,,circle,,,
776,6.1.1.3.5,5,,,,Fabrication,11,,,0,https://en.wikipedia.org/wiki/Fabrication_(science),,Votre argument invente des raisons en cours de route. ,54,,0,Nous savons qu'il y a des armes de destruction massives dans ce pays. ,70,,,,,,,,,,circle,,,
777,6.1.1.3.6,5,,,,Falsification,13,,,0,https://en.wikipedia.org/wiki/Forgery,,Votre argument corrige les raisons et les faits en cours de route. ,67,,0,Nous pensons que les chiffres sont sous-estimés et qu'il est urgent d'intervenir. ,82,,,,,,,,,,circle,,,
778,6.1.1.3.7,5,,,,Etouffer l'affaire,18,,,0,https://en.wikipedia.org/wiki/Cover-up,,Votre argument masque des raisons et des faits en cours de route. ,66,,0,Notre gouvernement n'a jamais utilisé de gaz chimique contre sa population. ,76,,,,,,,,,,circle,,,
779,6.1.1.3.8,5,,,,Parjure,7,,,0,https://fr.wikipedia.org/wiki/Parjure,,votre argument viole un serment que vous avez fait face à une autorité. ,72,,0,Et pourtant elle tourne ! (Galilée). ,37,,,,,,,,,,circle,,,
780,6.1.1.3.9,5,,,,Mythomanie,10,,,0,https://fr.wikipedia.org/wiki/Mythomanie,,Votre argument s'appuie sur une compulsion au mensonge. ,56,,0,"Mais Monsieur l'agent, je vous assure que mon chien l'a mangé. ",63,,,,,,,,,,circle,,,
781,6.1.2,3,ok,2,,Fausse attribution,18,,Fake attribution,16,,https://en.wikipedia.org/wiki/False_attribution,"Pour soutenir votre thèse, vous citez des sources non pertinentes, mal identifiées, biaisées ou fabriquées de toutes pièces.",124,"Referring to an irrelevant, unqualified, unidentified, biased, or fabricated source in support of an argument.",110,Un comité scientifique trié sur le volet a déclaré que cette crème pour les mains était la vraie recette du bonheur.,116,"According to this panel of experienced scientists, this cream is the perfect source of happiness.",97,,,"Comme vous pouvez le voir sur ce site Internet, l'Allemagne a toujours soutenu la Russie.",,,,,circle,,,
782,6.1.2.1,4,Jesse OK,1,Citation hors contexte,Décontextualisation,19,Quoting out of context,Contextomy,10,,https://en.wikipedia.org/wiki/Quoting_out_of_context,"Vous citez une phrase sans en préciser les circonstances utiles, de manière à en modifier la portée.",100,Quoting a phrase or sentence out of context in order to distort its original meaning.,85,"- Tu m'as pourtant dit avoir trouvé ce film éblouissant...
- Éblouissant par sa stupidité !",91,"- You said you didn't want tea.
- I said I don't like tea in the afternoon.",75,"lien t: strawman, appeal to authority",,,,,,,circle,découpage d'un personnage,,
783,6.1.2.1.1,5,,,,Accroche,8,,,0,https://en.wikipedia.org/wiki/Sound_bite,,Votre argument s'appuie sur une petite phrase choc. ,52,,0,Le gouvernement enclenche le tournant de l'offre. ,50,,,,,,,,,,circle,,,
784,6.1.2.1.2,5,,,,Extraction de citations,23,,,0,http://rationalwiki.org/wiki/Quotemining,,Votre argument s'appuie sur un énoncé commun à l'argument de votre adversaire. ,79,,0,Nous serons tous les eux d'accord avec Platon pour dire que le mot être est immobile pour le tout. ,99,,,,,,,,,,circle,,,
785,6.1.2.1.3,5,,,,Litéralisme,11,,,0,http://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryL/section31/main.html,,Votre argument prend un texte donné dans son sens littéral. ,60,,0,Le seul moyen d'être un bon Musulman est de vivre comme au temps du Prophète. ,78,,,,,,,,,,circle,,,
786,6.1.2.1.4,5,,,,Pseudohistoire,14,,,0,https://fr.wikipedia.org/wiki/Pseudohistoire,,Votre argument se présente comme un travail d'histoire mais n'en respecte pas les règles. ,90,,0,"Si on n'a pas encore trouvé la Lémurie, c'est qu'on ne l'a pas suffisamment cherchée. ",86,,,,,,,,,,circle,,,
787,6.1.2.2,4,,,,Sourcing circulaire,19,,,0,https://en.wikipedia.org/wiki/Circular_reporting,,"Votre argument est confirmée par plusieurs sources, mais celles-ci ont toutes elles-mêmes la même origine. ",107,,0,"Si, je t'assure, tout le monde le dit, même Wikipédia. ",55,,,,,,,,,,circle,,,
788,6.1.2.2.1,5,,,,Citogenèse,10,,,0,https://web.archive.org/web/20111118010341/http://xkcd.com/978,,,0,,0,,0,,,,,,,,,,circle,,,
789,6.1.3,3,ok,2,,Attention sélective,19,,Selective attention,19,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/159/Selective-Attention,Vous ne vous attachez qu'aux aspects de la situation qui servent votre thèse.,77,Focusing on specific aspects of the argument while ignoring other relevant dimensions.,86,"L'énergie nucléaire est parfaitement écologique, puisqu'elle ne produit pas de dioxyde de carbone.",98,Nuclear energy is environment-friendly because it does not release any CO2 in the atmosphere.,93,lien t Cherry picking,,,"Economic growth is good for everyone, because more money is earned. ",,,,circle,,,
790,6.1.3.1,4,,,,Raisonnement motivé,19,,,0,http://skepdic.com/motivatedreasoning.html,,Votre argument ne vient que confirmer votre opinion préalable. ,63,,0,Le réchauffement climatique est un canular chinois. ,52,,,,,,,,,,circle,,,
