!;

!key;family;rel;carte;shape;image;latin;image;text_fr;text_en;desc_fr;desc_en;example_fr;example_en;proverbe;link_fr;link_en;label

*root;Arguments fallacieux;;;diamond;;;;Arguments fallacieux;;;;;;;https://fr.wikipedia.org/wiki/Sophisme;;Arguments fallacieux
1.3.3.3;Insuffisance;;;circle;;;;Canon de Morgan;;;;;;;https://fr.wikipedia.org/wiki/Pathetic_fallacy;;Canon de Morgan
1.3.3.3.1;Insuffisance;;;circle;;;;Sophisme animiste;;;;;;;#9e1c3834-3d6d-4164-8c95-3f9b19aa6f9f;;Sophisme animiste
1.3.3.3.1.1;Insuffisance;;;circle;;;;Sophisme pathétique;;;;;;;https://fr.wikipedia.org/wiki/Pathetic_fallacy;;Sophisme pathétique
1.3.3.4;Insuffisance;;;circle;;;;Apophénie;;;;;;;http://skepdic.com/apophenia.html;;Apophénie
1.3.3.5;Insuffisance;;;circle;;;;Paréidolie;;;;;;;https://fr.wikipedia.org/wiki/Par%C3%A9idolie;;Paréidolie
2;Influence;;;square;;;;Influence;;;;;;;;;Influence
2.1;Influence;;;circle;;;;Procédé Rhétorique;;;;;;;https://en.wikipedia.org/wiki/Rhetorical_device;;Procédé Rhétorique
2.1.1;Influence;;;circle;;;;Langage chargé;;;;;;;https://en.wikipedia.org/wiki/Loaded_language;;Langage chargé
2.1.1.1;Influence;;;circle;;;;Argument par la question;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#question;;Argument par la question
2.1.1.1.1;Influence;;;circle;;;;Compliquer les questions (plurium interrogationum);;;;;;;https://fr.wikipedia.org/wiki/Plurium_interrogationum;;Compliquer les questions (plurium interrogationum)
2.1.1.1.1.1;Influence;;;circle;;;;Question rhétorique;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#rhetorical_question;;Question rhétorique
2.1.1.1.2;Influence;;;circle;;;;Question à deux volets (question complexe);;;;;;;https://en.wikipedia.org/wiki/Double-barreled_question;;Question à deux volets (question complexe)
2.1.1.1.3;Influence;;;circle;;;;Fausse alternative;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/16/Alternative-Advance;;Fausse alternative
2.1.1.2;Influence;4.1.1;;circle;;;;Pétition de principe;;;;;;;https://fr.wikipedia.org/wiki/P%C3%A9tition_de_principe;;Pétition de principe
2.1.1.3;Influence;5.1.2.3;;circle;;;;Définition persuasive;;;;;;;https://en.wikipedia.org/wiki/Persuasive_definition;;Définition persuasive
2.1.1.3.1;Influence;;;circle;;;;Mots fouines;;;;;;;https://en.wikipedia.org/wiki/Weasel_word;;Mots fouines
2.1.1.3.2;Influence;1.3.1.4;;circle;;;;Langage idiosynchratique;;;;;;;http://www.ditext.com/fearnside/51.html;;Langage idiosynchratique
2.1.1.3.2.1;Influence;;;circle;;;;Elément de langage;;;;;;;https://fr.wikipedia.org/wiki/%C3%89l%C3%A9ment_de_langage;;Elément de langage
2.1.1.3.2.2;Influence;;;circle;;;;Double langage;;;;;;;https://en.wikipedia.org/wiki/Doublespeak;;Double langage
2.1.1.3.2.3;Influence;;;circle;;;;Jargon corporate;;;;;;;https://en.wikipedia.org/wiki/Corporate_jargon;;Jargon corporate
2.1.1.3.2.4;Influence;;;circle;;;;Blabla technologique;;;;;;;http://rationalwiki.org/wiki/Technobabble;;Blabla technologique
2.1.1.3.2.5;Influence;;;circle;;;;Buzzword;;;;;;;https://fr.wikipedia.org/wiki/Buzzword;;Buzzword
2.1.1.4;Influence;;;circle;;;;Poncif bloquant la pensée;;;;;;;https://fr.wikipedia.org/wiki/Thought-terminating_clich%C3%A9;;Poncif bloquant la pensée
2.1.1.4.1;Influence;;;circle;;;;L'argument par slogant;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#slogan;;L'argument par slogant
2.1.1.4.2;Influence;;;circle;;;;Petite phrase;;;;;;;https://fr.wikipedia.org/wiki/Petite_phrase;;Petite phrase
2.1.1.4.3;Influence;1.1.3.4;;circle;;;;Pensée Cliché;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche;;Pensée Cliché
2.1.1.4.4;Influence;;;circle;;;;Technique du carpaccio;;;;;;;https://cortecs.org/materiel/scenarisation-de-linformation-la-technique-du-carpaccio/;;Technique du carpaccio
2.1.1.5;Influence;;;circle;;;;Preuve par intimidation;;;;;;;https://en.wikipedia.org/wiki/Proof_by_intimidation;;Preuve par intimidation
